iter	RMSE
0	7210.027472
1	7061.801799
2	6853.409732
3	6687.773225
4	6533.667866
5	6386.660334
6	6202.117483
7	6051.664197
8	5910.658202
9	5767.308757
10	5628.526133
11	5462.827972
12	5336.055772
13	5192.822124
14	5035.53511
15	4901.393615
16	4760.287369
17	4611.902083
18	4523.476608
19	4393.475891
20	4278.710566
21	4146.028873
22	4013.236939
23	3914.40002
24	3810.044426
25	3707.476044
26	3588.682766
27	3496.926375
28	3418.042756
29	3319.148587
30	3233.947765
31	3108.803967
32	3027.119352
33	2963.443271
34	2895.345126
35	2830.741629
36	2751.501809
37	2661.889518
38	2603.347931
39	2533.416343
40	2462.828328
41	2406.670571
42	2330.157729
43	2278.754115
44	2226.122571
45	2170.322388
46	2121.310965
47	2072.154601
48	2024.0512
49	1973.888723
50	1929.071063
51	1886.519234
52	1826.403206
53	1783.94541
54	1743.912728
55	1704.828646
56	1673.56994
57	1635.609431
58	1601.661772
59	1564.620084
60	1528.178966
61	1492.488307
62	1457.988652
63	1425.236523
64	1392.958071
65	1355.654563
66	1330.574563
67	1300.621044
68	1270.308672
69	1242.168955
70	1213.834572
71	1188.926838
72	1162.272231
73	1136.785907
74	1111.647408
75	1087.24855
76	1063.046591
77	1039.238613
78	1018.679549
79	996.1752105
80	974.7303145
81	953.837517
82	934.748222
83	914.5892351
84	894.0109765
85	873.8957287
86	854.1347848
87	834.8479574
88	816.53317
89	798.0951442
90	780.1380028
91	762.7879175
92	745.564084
93	728.7307969
94	712.3339195
95	696.987719
96	681.3054947
97	665.9761205
98	650.9916572
99	636.3443443
100	622.026596
101	608.030997
102	594.3502991
103	580.9265111
104	567.8556641
105	555.0789112
106	542.5896352
107	530.3813679
108	518.4477866
109	506.782711
110	495.3800995
111	484.2340469
112	473.3387804
113	462.6886574
114	452.2781622
115	442.1019031
116	432.1546099
117	422.4311308
118	412.92643
119	403.6355849
120	394.5537839
121	385.6763234
122	376.9986058
123	368.5161368
124	360.2245234
125	352.1194713
126	344.1967829
127	336.452355
128	328.8821767
129	321.4823274
130	314.2489748
131	307.1783726
132	300.2668589
133	293.5108543
134	286.9068598
135	280.4514552
136	274.1412972
137	267.9731178
138	261.9437224
139	256.0499884
140	250.2888634
141	244.6573638
142	239.1525729
143	233.7716398
144	228.5117777
145	223.3702625
146	218.3444314
147	213.4316815
148	208.6294685
149	203.9353052
150	199.3467607
151	194.8614584
152	190.4770754
153	186.191341
154	182.0020357
155	177.9069897
156	173.9040823
157	169.9912403
158	166.1664372
159	162.4276922
160	158.773069
161	155.2006748
162	151.7086595
163	148.2952145
164	144.9585721
165	141.6970041
166	138.5088214
167	135.3923727
168	132.3460442
169	129.3682581
170	126.4574722
171	123.612179
172	120.8309048
173	118.1122094
174	115.4546845
175	112.856954
176	110.3176725
177	107.8355247
178	105.4092253
179	103.0375177
180	100.7191734
181	98.45299194
182	96.23779954
183	94.07244896
184	91.95581877
185	89.88681277
186	87.8643594
187	85.88741124
188	83.95494441
189	82.06595808
190	80.21947395
191	78.41453572
192	76.65020859
193	74.92557883
194	73.23975324
195	71.59185873
196	69.98104184
197	68.40646834
198	66.86732274
199	65.36280792
