iter	Passed	Remaining
0	141	28168
1	148	14654
2	149	9842
3	152	7488
4	156	6086
5	172	5587
6	177	4900
7	183	4407
8	186	3955
9	189	3594
10	192	3315
11	196	3073
12	201	2901
13	205	2728
14	210	2591
15	212	2442
16	214	2312
17	218	2205
18	221	2110
19	224	2023
20	228	1944
21	230	1862
22	233	1793
23	235	1730
24	251	1758
25	258	1726
26	261	1677
27	264	1625
28	280	1656
29	286	1621
30	290	1580
31	291	1532
32	296	1497
33	303	1481
34	308	1456
35	311	1421
36	314	1384
37	315	1345
38	317	1311
39	319	1279
40	321	1245
41	324	1218
42	325	1187
43	327	1162
44	329	1135
45	331	1109
46	332	1083
47	334	1060
48	337	1038
49	338	1015
50	340	995
51	342	974
52	343	951
53	344	932
54	345	912
55	348	895
56	349	876
57	352	862
58	354	846
59	355	830
60	356	813
61	359	799
62	360	784
63	362	770
64	363	754
65	364	739
66	365	725
67	367	712
68	369	702
69	375	696
70	377	686
71	379	674
72	380	662
73	389	662
74	392	654
75	394	643
76	396	633
77	398	623
78	399	611
79	407	610
80	408	600
81	410	590
82	411	580
83	427	590
84	431	583
85	433	574
86	435	565
87	436	555
88	443	553
89	445	544
90	446	534
91	454	534
92	456	525
93	458	516
94	474	524
95	474	514
96	475	505
97	478	498
98	480	490
99	481	481
100	482	473
101	484	465
102	485	456
103	485	448
104	487	440
105	488	432
106	489	425
107	490	417
108	491	410
109	492	402
110	493	395
111	494	388
112	495	381
113	496	374
114	499	369
115	500	362
116	501	355
117	502	349
118	503	343
119	504	336
120	505	330
121	506	323
122	507	317
123	508	311
124	509	305
125	510	300
126	511	294
127	512	288
128	513	282
129	515	277
130	517	272
131	518	267
132	520	262
133	521	256
134	523	251
135	525	247
136	526	242
137	528	237
138	529	232
139	531	227
140	532	222
141	533	217
142	534	213
143	536	208
144	538	204
145	539	199
146	541	195
147	542	190
148	544	186
149	545	181
150	547	177
151	548	173
152	550	169
153	552	165
154	554	160
155	556	156
156	557	152
157	559	148
158	560	144
159	562	140
160	564	136
161	565	132
162	570	129
163	571	125
164	573	121
165	574	117
166	576	113
167	577	110
168	579	106
169	580	102
170	581	98
171	583	94
172	584	91
173	585	87
174	587	83
175	588	80
176	590	76
177	591	73
178	593	69
179	594	66
180	596	62
181	597	59
182	599	55
183	600	52
184	602	48
185	603	45
186	605	42
187	606	38
188	607	35
189	609	32
190	611	28
191	612	25
192	614	22
193	615	19
194	617	15
195	618	12
196	619	9
197	621	6
198	622	3
199	624	0
